"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.112023641E0	5.497741699E-2	9.692306519E0	-9.078826904E-1	9.734889786E0
1.116021444E0	4.541015625E-2	9.682723999E0	-9.030914307E-1	9.724853740E0
1.120019247E0	4.061889648E-2	9.685119629E0	-8.911132812E-1	9.726113047E0
1.124017050E0	3.822326660E-2	9.680328369E0	-8.767547607E-1	9.720026608E0
1.128014852E0	2.384948730E-2	9.685119629E0	-8.576049805E-1	9.723044653E0
1.132043173E0	2.146911621E-2	9.685119629E0	-8.408355713E-1	9.721574338E0
1.136040975E0	1.428222656E-2	9.682723999E0	-8.312683105E-1	9.718351456E0
1.140038778E0	7.095336914E-3	9.682723999E0	-8.168945312E-1	9.717124629E0
1.144036581E0	2.304077148E-3	9.675552368E0	-8.049316406E-1	9.708976974E0
1.148034384E0	-4.867553711E-3	9.685119629E0	-7.857818604E-1	9.716944944E0
1.152032186E0	-1.445007324E-2	9.677932739E0	-7.690124512E-1	9.708448437E0
1.156029989E0	-2.403259277E-2	9.673156738E0	-7.402801514E-1	9.701471721E0
1.160027792E0	-2.403259277E-2	9.670761108E0	-7.211303711E-1	9.697640280E0
1.164025595E0	-2.403259277E-2	9.668365479E0	-7.043762207E-1	9.694019520E0
1.168023397E0	-4.318237305E-2	9.658782959E0	-6.804351807E-1	9.682816997E0
1.172021200E0	-5.754089355E-2	9.663574219E0	-6.588897705E-1	9.686181568E0
1.176019003E0	-6.233215332E-2	9.658782959E0	-6.373291016E-1	9.679987703E0
1.180047323E0	-6.712341309E-2	9.663574219E0	-6.062164307E-1	9.682802827E0
1.184045126E0	-7.431030273E-2	9.665969849E0	-5.822753906E-1	9.683777144E0
1.188042929E0	-7.670593262E-2	9.677932739E0	-5.631103516E-1	9.694604642E0
1.192040731E0	-8.387756348E-2	9.668365479E0	-5.296020508E-1	9.683222852E0
1.196038534E0	-9.585571289E-2	9.668365479E0	-4.960784912E-1	9.681558408E0
1.200036337E0	-9.825134277E-2	9.665969849E0	-4.649505615E-1	9.677644624E0
1.204034139E0	-1.126098633E-1	9.658782959E0	-4.314270020E-1	9.669069163E0
1.208031942E0	-1.078186035E-1	9.646820068E0	-4.003143311E-1	9.655724408E0
1.212029745E0	-1.221923828E-1	9.649215698E0	-3.643951416E-1	9.656866903E0
1.216027548E0	-1.197967529E-1	9.651596069E0	-3.284759521E-1	9.657927024E0
1.220025350E0	-1.341552734E-1	9.649215698E0	-3.021392822E-1	9.654876974E0
1.224023153E0	-1.389465332E-1	9.639633179E0	-2.734222412E-1	9.644511065E0
1.228051473E0	-1.461334229E-1	9.651596069E0	-2.398986816E-1	9.655682940E0
1.232049276E0	-1.509246826E-1	9.653991699E0	-2.063751221E-1	9.657376698E0
1.236047079E0	-1.437377930E-1	9.644424438E0	-1.656799316E-1	9.646918324E0
1.240044882E0	-1.389465332E-1	9.644424438E0	-1.297607422E-1	9.646298085E0
1.244042684E0	-1.389465332E-1	9.644424438E0	-9.385681152E-2	9.645881919E0
1.248040487E0	-1.389465332E-1	9.651596069E0	-4.835510254E-2	9.652717288E0
1.252038290E0	-1.365509033E-1	9.653991699E0	-7.659912109E-3	9.654960412E0
1.256036093E0	-1.389465332E-1	9.646820068E0	2.825927734E-2	9.647862051E0
1.260033895E0	-1.317596436E-1	9.644424438E0	6.416320801E-2	9.645537842E0
1.264031698E0	-1.317596436E-1	9.646820068E0	9.289550781E-2	9.648167060E0
1.268029501E0	-1.461334229E-1	9.642028809E0	1.312103271E-1	9.644028757E0
1.272027304E0	-1.389465332E-1	9.649215698E0	1.719055176E-1	9.651747056E0
1.276055624E0	-1.317596436E-1	9.653991699E0	2.030334473E-1	9.657025366E0
1.280053427E0	-1.317596436E-1	9.651596069E0	2.437286377E-1	9.655572015E0
